FID,Facility Number,Facility Name,HMIS,Province,District,Division,LOCATION,Sub Location,Spatial_Re,Facility Type,Agency,Latitude,Longitude,GlobalID,x,y
2786,17,KAPKOI (FRIENDS) DISP,1844,RIFT VALLEY,TRANS-NZOIA,KWANZA,KAPOMBOI,KAPKOI(TNZOIA),SUBLOC CENTROID,4,MISS,1.205713,34.914956,f67aca26-672f-46f0-96fc-d1911805d26c,34.914956,1.205713
2787,3,ARAMA DISP,0,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,LEMBUS CENTRAL,POROR/ARAMA,DDP,4,MOH,0.066415,35.6515,5871eaea-99e2-40b4-a12e-8b2a89f3487b,35.6515,0.066415
2788,4,CHEPKORIO HEALTH CENTRE,2033,RIFT VALLEY,KEIYO,CHEPKORIO,MARICHOR,FLAX,1:50000 MAPS,3,MOH,0.386649,35.5278,ebfe393f-5a0a-40d5-b8e4-fb6a7c572b09,35.5278,0.386649
2789,18,KAPKOI DISP,3865,RIFT VALLEY,TRANS-NZOIA,KWANZA,KAPOMBOI,KAPKOI(TNZOIA),DDP,4,MOH,1.22635,34.918,0311b6ba-b1a8-4997-a63f-ec929c1700e1,34.918,1.22635
2790,4,CHEBEREN DISP,1935,RIFT VALLEY,KOIBATEK,EMINING,KIMOSE,KIMOSE,DDP,4,MOH,0.22207,35.8873,a47c7067-5cf3-45cd-a330-82a6936b3985,35.8873,0.22207
2791,51,CHEPTEBO DISP,3820,RIFT VALLEY,KEIYO,SOY,KIBARGOI,CHEPTEBO,SUBLOC CENTROID,4,MOH,0.498354,35.581925,97f54f77-f53d-4361-af61-52ae62135cee,35.581925,0.498354
2792,19,KAPLAMAI H C,0,RIFT VALLEY,TRANS-NZOIA,KAPLAMAI,KAPLAMAI,KIMOSON,DDP,3,MOH,0.995636,35.0941,8b298663-5bfb-4c7b-ac0e-0573e3270740,35.0941,0.995636
2793,5,ELDAMA RAVINE DISP,0,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,ELDAMA RAVINE,DDP,4,MISS,0.049731,35.7245,5097481f-7859-457b-a056-f9262bea02e5,35.7245,0.049731
2794,0,EMSEA DISP,1999,RIFT VALLEY,KEIYO,SOY,KIBARGOI,EMSEA,DHMT,4,MOH,0.455433,35.608014,febd8ed6-b1bf-4c4e-b8a2-276902d267b9,35.608014,0.455433
2795,20,KAPOMBOI DISP,2825,RIFT VALLEY,TRANS-NZOIA,KWANZA,KAPOMBOI,KAPOMBOI,SUBLOC CENTROID,4,MISS,1.135548,34.898232,772ae060-08fb-46f8-b58d-471dcf5598e1,34.898232,1.135548
2796,6,ELDAMA RAVINE DISTRICT HOSPITAL,1982,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,LEMBUS CENTRAL,POROR/ARAMA,HD MAPS,1,MOH,0.05,35.7167,c2c54065-1a54-4131-9b6e-27380a209a0c,35.7167,0.05
2797,0,EPKEE DISP,0,RIFT VALLEY,KEIYO,SOY,EPKE,EPKE,DHMT,4,MOH,0.516546,35.548629,3b46acca-09fe-4dd8-89ad-826f2bf1383a,35.548629,0.516546
2798,21,KAPSARA HEALTH CENTRE,1865,RIFT VALLEY,TRANS-NZOIA,KAPLAMAI,MAKUTANO,KAPSARA,DDP,3,MOH,1.07219,35.1511,7019ccdf-61ff-422b-8b38-4460b552eb69,35.1511,1.07219
2799,7,EMINING HEALTH CENTRE,1992,RIFT VALLEY,KOIBATEK,EMINING,KIMOSE,KIMOSE,DDP,3,MOH,0.214364,35.8711,bbbc5e64-6561-4a25-8cb6-a2a41bbed934,35.8711,0.214364
2800,0,FLAX DISP,0,RIFT VALLEY,KEIYO,CHEPKORIO,MARICHOR,FLAX,DHMT,4,MOH,0.374345,35.504642,f61d064d-acee-4451-a9e8-17d04e46cd56,35.504642,0.374345
2801,104,KAPSITWET DISP,4438,RIFT VALLEY,TRANS-NZOIA,KWANZA,KWANZA,KAPSITWET,SUBLOC CENTROID,4,MOH,1.080684,34.96343,9aa639a8-ff38-40e2-9934-e92386055bb2,34.96343,1.080684
2802,8,ESAGERI DISP,1938,RIFT VALLEY,KOIBATEK,ESAGERI,SABATIA,LEBOLOS,ILRI MKT CENTRES,4,MOH,-0.064319,35.781806,558131d1-f095-4e27-814d-c2aa0bc33aaf,35.781806,-0.064319
2803,6,ITEN DISTRICT HOSPITAL,2042,RIFT VALLEY,KEIYO,KAMARINY,IRONG,ITEN TOWNSHIP,1:50000 MAPS,1,MOH,0.6743,35.5058,63fc4238-f06f-4c80-8e53-af089977a12a,35.5058,0.6743
2804,24,KIMININI (CATHOLIC) COTTAGE HOSP,1846,RIFT VALLEY,TRANS-NZOIA,KIMININI,KIMININI,KIMININI(TNZOIA),1:50000 MAPS,1,MISS,0.887734,34.92535,984b8be3-1d3d-49ad-8ec3-dc88aeff09b4,34.92535,0.887734
2805,9,IGURE DISP,2423,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,MAJI MAZURI,MAKUTANO(KOIBA),SUBLOC CENTROID,4,MOH,-0.088048,35.697514,ba6fda3c-7100-4cc3-bdb9-5f39db56680b,35.697514,-0.088048
2806,8,KAMWOSOR HEALTH CENTRE,2045,RIFT VALLEY,KEIYO,CHEPKORIO,KAMWOSOR,KAMWOSOR,1:50000 MAPS,3,MOH,0.200269,35.5668,394e4a3d-ac7d-4fbb-92d2-862077929621,35.5668,0.200269
2807,26,KINYORO (FRIENDS) DISP,1847,RIFT VALLEY,TRANS-NZOIA,SABOTI,KINYORO,KINYORO,SUBLOC CENTROID,4,MISS,0.989703,34.874055,3acdaea0-ab89-4268-a41f-ae4fcdfaf189,34.874055,0.989703
2808,10,KAPKEIN DISP,3435,RIFT VALLEY,KOIBATEK,KIMNG'OROM,CHEBEREN,CHEBEREN,DDP,4,MOH,0.249041,35.8157,1c3dfd8c-027b-4644-93ad-c31ec413604f,35.8157,0.249041
2809,9,KAPCHELAL DISP,3451,RIFT VALLEY,KEIYO,TAMBACH,KOKWAO,KAPCHELAL,SUBLOC CENTROID,4,MOH,0.841851,35.564107,de73ad0b-617b-4b9c-bbe0-fb994bd554fa,35.564107,0.841851
2810,28,KITALE DISTRICT HOSPITAL,1868,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,BIDII,HD MAPS,1,MOH,1.03732,35.0189,d8389d1f-c01e-4c18-868d-6e9183d6e5ab,35.0189,1.03732
2811,11,KIPTUMO DISP,2540,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,TUIYOTICH,DDP,4,MOH,0.060688,35.7529,f024f4da-1533-480e-8f9e-c155f5e9e4a7,35.7529,0.060688
2812,10,KAPKITONY DISP,1843,RIFT VALLEY,KEIYO,CHEPKORIO,MAOI,KAPKITONY(KEIYO),1:50000 MAPS,4,MISS,0.247312,35.5833,68889ff5-a561-46f3-a972-675608eacbe6,35.5833,0.247312
2813,29,KITALE PEFA DISP,2435,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,BIDII,ILRI MKT CENTRES,4,MISS,1.02031,35.006832,e5c04d3c-41af-43ec-b0b6-58eda7d69d2b,35.006832,1.02031
2814,12,KISANANA HEALTH CENTRE,1952,RIFT VALLEY,KOIBATEK,MOGOTIO,SIMOTWE,MUGURIN,DDP,3,MOH,0.11419,36.0723,59381987-344f-4259-b010-798b07b3122e,36.0723,0.11419
2815,11,KAPKOI HEALTH CENTRE,2039,RIFT VALLEY,KEIYO,KAMARINY,MUTEI,KAPKOI(KEIYO),SUBLOC CENTROID,3,MISS,0.53992,35.492234,fd54d7dd-5d99-4f37-814e-e3fc4dd65224,35.492234,0.53992
2816,30,KOBOS DISP,3866,RIFT VALLEY,TRANS-NZOIA,KWANZA,KAPOMBOI,KOBOS,DDP,4,MOH,1.099,34.9263,ab08ab7e-7406-4116-9219-8521725228cc,34.9263,1.099
2817,13,LEBOLOS DISP,4411,RIFT VALLEY,KOIBATEK,ESAGERI,SABATIA,LEBOLOS,SUBLOC CENTROID,4,MOH,-0.043385,35.78213,a57da004-e005-439a-8145-7806224bc058,35.78213,-0.043385
2818,14,KAPTAGAT DISP,652,RIFT VALLEY,KEIYO,CHEPKORIO,MARICHOR,FLAX,1:50000 MAPS,4,MOH,0.37342,35.4779,bfd4d055-a270-4f59-a0ce-3abeebccad59,35.4779,0.37342
2819,32,KOLONGOLO MISSION DISP,1850,RIFT VALLEY,TRANS-NZOIA,KWANZA,KAPOMBOI,KOLONGOLO,SUBLOC CENTROID,4,MISS,1.218702,34.959343,87f7c63a-cc38-44b3-b508-20ba622d16d2,34.959343,1.218702
2820,14,MAJI MAZURI DISP,1959,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,MAJI MAZURI,MAJI MAZURI(KOIBA),DDP,4,MOH,-0.022201,35.7101,6ffd82c1-9f0f-4b33-b463-083c678b9809,35.7101,-0.022201
2821,16,KAPTARAKWA SUB-DISTRICT HOSP,2040,RIFT VALLEY,KEIYO,CHEPKORIO,KAPTARAKWA,KAPTARAKWA,1:50000 MAPS,1,MOH,0.469086,35.5439,6a351eb7-78e0-486e-8d69-43c48933b48d,35.5439,0.469086
2822,33,KWANZA HEALTH CENTRE,1866,RIFT VALLEY,TRANS-NZOIA,KWANZA,KAPOMBOI,KAPOMBOI,DDP,3,MOH,1.15508,34.9209,40d9b3d6-5f67-48e8-9fad-a48b61886774,34.9209,1.15508
2823,15,MAJI MOTO DISP,1960,RIFT VALLEY,KOIBATEK,MOGOTIO,KOIBOS,MAJI MOTO(KOIBA),DDP,4,MOH,0.299368,36.075161,f5e3beb9-b07e-4e1d-a859-9fb02899ad14,36.075161,0.299368
2824,17,KAPTEREN HEALTH CENTRE,2959,RIFT VALLEY,KEIYO,KAMARINY,MUTEI,KAPTEREN,1:50000 MAPS,3,MOH,0.566355,35.487,6c822e46-698f-4e06-89bf-276dbe159ee7,35.487,0.566355
2825,34,MARIDADI DISP,3734,RIFT VALLEY,TRANS-NZOIA,KWANZA,KWANZA,KWANZA,DHMT,4,MISS,1.13,35.01,caa182ae-4de2-4de9-b796-b23a3b03b981,35.01,1.13
2826,16,MERCY HOSPITAL,1990,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,ELDAMA RAVINE,ELDAMA RAVINE,DDP,1,MISS,0.044839,35.7363,cea20329-a92b-41b4-ab5c-76d7850ca819,35.7363,0.044839
2827,36,MED MISSIONARIES OF MARY HEALTH DISP,2487,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,MILIMANI(CENTRAL),DHMT,4,MISS,1.002267,35.020856,d6d574a3-77b7-4573-8261-baa3c1e85e37,35.020856,1.002267
2828,23,KIPKABUS DISP,3502,RIFT VALLEY,KEIYO,CHEPKORIO,KABIEMIT,KABIEMIT(KEIYO),1:50000 MAPS,4,MOH,0.30045,35.49865,bce02e7c-8320-428a-becb-528a8dd0ab42,35.49865,0.30045
2829,17,MUGURIN DISP,3012,RIFT VALLEY,KOIBATEK,MOGOTIO,KOIBOS,KOITUMET,DDP,4,MOH,0.147325,36.0569,0f6ae00e-3661-4a28-988f-130d11874a5b,36.0569,0.147325
2830,38,MOTOSIETI DISP,1853,RIFT VALLEY,TRANS-NZOIA,KAPLAMAI,MOTOSIET,MOTOSIET,DISTRICT ESTIMATES,4,MOH,1.02411,35.1523,fc057346-581c-43c8-a5a2-fc6a006eb501,35.1523,1.02411
2831,25,KIPSAOS DISP,2011,RIFT VALLEY,KEIYO,CHEPKORIO,KAPKWONY,KIPSAOS,1:50000 MAPS,4,MISS,0.178315,35.6084,4115d43f-24c6-4f75-bdc0-3dcfa4eee512,35.6084,0.178315
2832,18,OLKOKWE DISP,1966,RIFT VALLEY,KOIBATEK,KISANANA,OLKOKWE,OLKOKWE,DDP,4,MOH,0.160424,36.1254,8ba77825-53a0-4e8a-a202-97e03e8ad88a,36.1254,0.160424
2833,39,MT. ELGON DISP,1854,RIFT VALLEY,TRANS-NZOIA,ENDEBESS,ENDEBESS,CHORLIM,DISTRICT ESTIMATES,4,MOH,1.0522,34.8011,4754d2bf-2f58-4b50-a4f2-24f3e669ab42,34.8011,1.0522
2834,27,KOCHOLWA DISP,2013,RIFT VALLEY,KEIYO,CHEPKORIO,KOCHOLWO,KOCHOLWO,SUBLOC CENTROID,4,MISS,0.236633,35.650724,bb1b9ba3-2711-4302-a8ac-73ae0291bf46,35.650724,0.236633
2835,19,SABATIA DISP,3423,RIFT VALLEY,KOIBATEK,ESAGERI,SABATIA,KIROBON,DDP,4,MOH,-0.00833,35.7502,5e4e5c78-7e94-49bf-98ee-d23413e44f1c,35.7502,-0.00833
2836,98,NATIONAL AGRICULTURAL RESEARCH CENTRE (NARC),1842,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,BIDII,ILRI MKT CENTRES,4,LA,1.02031,35.006832,2b73dadd-aa60-43cd-87dc-4f3be9dd9313,35.006832,1.02031
2837,28,KOCHOLWO SUB-DISTRICT HOSP,3501,RIFT VALLEY,KEIYO,CHEPKORIO,TUMEIYO,CHEPKOSOM,DISTRICT ESTIMATES,1,MOH,0.26232,35.55123,38e9eadc-4488-425c-9692-d0b70c0c767d,35.55123,0.26232
2838,42,NEKEKI DISP,4412,RIFT VALLEY,TRANS-NZOIA,CENTRAL,KIBOMET,MILIMANI(CENTRAL),1:50000 MAPS,4,NGO,1.01576,35.0045,23cb2f2d-4866-41ce-9805-d17ad7290df7,35.0045,1.01576
2839,20,SAGAT DISP,1972,RIFT VALLEY,KOIBATEK,ESAGERI,LEMBUS-KABIMOI,ORONGAI,DDP,4,MOH,0.053315,35.8157,f2cd4ff1-6005-412a-946c-8e5b40412461,35.8157,0.053315
2840,29,LELBOINET HEALTH CENTRE,2016,RIFT VALLEY,KEIYO,CHEPKORIO,MARICHOR,LELBOINET(KEIYO),1:50000 MAPS,3,MOH,0.358423,35.5659,2fd5fb50-8f0d-427a-90e6-3227f148ab60,35.5659,0.358423
2841,33,MSEKEKWA HEALTH CENTRE,2022,RIFT VALLEY,KEIYO,KAMARINY,KAMOI,SINGORE,SUBLOC CENTROID,3,MOH,0.707923,35.519061,bdc302d0-03af-4df3-a962-c9d67a131a24,35.519061,0.707923
2842,45,NZOIA DISP,1855,RIFT VALLEY,TRANS-NZOIA,CHERANGANY,CHERANGANY,NZOIA(TNZOIA),DISTRICT ESTIMATES,4,MOH,0.96241,35.1942,cc31f55e-0431-43e1-a5a7-aeca97d04e53,35.1942,0.96241
2843,21,SAOS DISP,0,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,SAOS/KIBIAS,SAOS,DDP,4,MOH,0.111879,35.8134,75bbbfe7-6888-4a94-adb5-f2b8204c3646,35.8134,0.111879
2844,34,MUSKUT HEALTH CENTRE,2023,RIFT VALLEY,KEIYO,SOY,SOY,MUSKUT,1:50000 MAPS,3,MOH,0.381272,35.6268,75263ba6-6f0c-425c-9efc-1d46a104e506,35.6268,0.381272
2845,47,PCEA DISP SIBANGA,0,RIFT VALLEY,TRANS-NZOIA,KAPLAMAI,SITATUNGA,SITATUNGA,DHMT,4,MISS,1.05,35.11,79aa4c03-bd44-4ff3-a732-d06931c2c250,35.11,1.05
2846,22,SIGORO DISP,3853,RIFT VALLEY,KOIBATEK,ELDAMA RAVINE,CHEMORGONG,SIGORO,DDP,4,MOH,0.12724,35.7352,1d05f8bd-e775-4991-965c-7ab69714ade8,35.7352,0.12724
2847,37,NYARU DISP,3759,RIFT VALLEY,KEIYO,CHEPKORIO,NYARU,MWEN,1:50000 MAPS,4,MOH,0.327061,35.5771,c91dd912-e8e1-44cb-92f6-b671f3bcbac1,35.5771,0.327061
2848,48,SABOTI HEALTH CENTRE,1858,RIFT VALLEY,TRANS-NZOIA,SABOTI,SABOTI,SABOTI,DDP,3,MOH,0.976288,34.8531,abdc62f6-1a24-45f6-91ac-b61393ed7210,34.8531,0.976288
2849,23,SIRWA DISP,1975,RIFT VALLEY,KOIBATEK,SIRWA,SIRWA,SORE,DDP,4,MOH,0.200494,35.7517,6acd5151-8985-4c6a-81e4-f965b79e2af3,35.7517,0.200494
2850,55,SABOR DISP,133,RIFT VALLEY,KEIYO,CHEPKORIO,MOSOP,KAPTAGAT,DHMT,4,MOH,0.428654,35.496561,3da950ea-9cd5-4853-bebd-1d79728e5107,35.496561,0.428654
2851,52,SUWERWA HEALTH CENTRE,1867,RIFT VALLEY,TRANS-NZOIA,CHERANGANY,KIPTOROR,MILIMANI(CHERANGANY),DDP,3,MOH,0.982474,35.2728,71e1ddcd-7597-465c-a290-296a09fa580c,35.2728,0.982474
2852,24,SOLIAN DISP,3850,RIFT VALLEY,KOIBATEK,ESAGERI,SABATIA,SOLIAN,SUBLOC CENTROID,4,MOH,0.009259,35.765234,0a0d511d-bdf4-4550-8598-0c3f1d90267f,35.765234,0.009259
2853,56,SEGO DISP,0,RIFT VALLEY,KEIYO,SOY,SOY,SEGO,DHMT,4,MOH,0.39105,35.612694,a3b6281a-3c97-49bb-9647-ad57b7d6be6a,35.612694,0.39105
2854,3,TOM MBOYA DISP,3864,RIFT VALLEY,TRANS-NZOIA,CENTRAL,MUNICIPALITY,BONDENI(TNZOIA),DDP,4,LA,1.02372,34.984,d054a374-e45d-4e8f-8b9b-cd5338f51cfc,34.984,1.02372
2855,25,TIMBOROA HEALTH CENTRE,1980,RIFT VALLEY,KOIBATEK,MUMBERES,LEMBUS-MOSOP,SEGUTON/TIMBOROA,ILRI MKT CENTRES,3,MOH,0.066667,35.54226,52ef17db-0a5f-4fbb-9238-921944782fb9,35.54226,0.066667
2856,57,SERGOT DISP,0,RIFT VALLEY,KEIYO,KAMARINY,IRONG,SERGOIT(KEIYO),DHMT,4,MOH,0.669537,35.441331,ac32660d-3922-43f2-9039-5386c369cafb,35.441331,0.669537
2857,53,TOP STATION DISP,2473,RIFT VALLEY,TRANS-NZOIA,CENTRAL,MUNICIPALITY,BONDENI(TNZOIA),DISTRICT ESTIMATES,4,MOH,1.03224,34.9941,8614006b-8d7b-44a0-bfb0-dccc2dfaafbb,34.9941,1.03224
2858,26,TORONGO HEALTH CENTRE,1981,RIFT VALLEY,KOIBATEK,MUMBERES,LEMBUS-MOSOP,TINET(KOIBA),DDP,3,MOH,0.051004,35.5914,03d4d865-e4fc-43de-b7d2-defbcac47f7f,35.5914,0.051004
2859,40,SIMOTWO DISP,2956,RIFT VALLEY,KEIYO,CHEPKORIO,METKEI,TUGUMOI(KEIYO),SUBLOC CENTROID,4,MOH,0.190118,35.627383,0416c1ca-b156-415b-9266-30db2edcf1a5,35.627383,0.190118
2860,54,TULWET H C,0,RIFT VALLEY,TRANS-NZOIA,CENTRAL,WAITALUK,KAPKOI SISAL,DHMT,4,MOH,0.92,35.01,7b693c9f-d4aa-4605-b80b-7929d67d0601,35.01,0.92
2861,27,TUIYOTICH DISP,0,RIFT VALLEY,KOIBATEK,ESAGERI,LEMBUS-KABIMOI,KABIMOI,DDP,4,MOH,0.030198,35.7825,0de90a78-aacb-498b-8b39-5b2eb14e9cc5,35.7825,0.030198
2862,41,SINGORE DISP,0,RIFT VALLEY,KEIYO,KAMARINY,KAMOI,SINGORE,1:50000 MAPS,4,MOH,0.716846,35.517,9175a0be-e452-4c51-8839-3f78460c1274,35.517,0.716846
2863,15,WEONIA DISP,0,RIFT VALLEY,TRANS-NZOIA,KIMININI,KIMININI,NABISWA,DISTRICT ESTIMATES,4,MOH,0.88412,34.8521,9ae760a1-a44c-42db-a753-5f420fc9537c,34.8521,0.88412
2864,1,ARJIJO DISP,1688,RIFT VALLEY,LAIKIPIA,MUKOGONDO,ILGWESI,NGARENDARE,DDP,4,MISS,0.312473,37.2958,1a1e26c9-0d51-4930-ada2-8230bbe8a294,37.2958,0.312473
2865,42,ST. STEPHEN DISP(E-MARAKWET),2028,RIFT VALLEY,KEIYO,TAMBACH,KEU,KOBULWO,ILRI VILLAGES,4,MISS,0.78,35.62,092aae8c-987f-462b-b79c-d3c91c8a9394,35.62,0.78
2866,54,WEYETA DISP,1864,RIFT VALLEY,TRANS-NZOIA,KAPLAMAI,SITATUNGA,SITATUNGA,DHMT,4,MOH,1.078039,35.106851,f312b556-3d2a-46ac-b9f5-29fefb72afbe,35.106851,1.078039
2867,2,DOLDOL CATHOLIC DISP,1689,RIFT VALLEY,LAIKIPIA,MUKOGONDO,MUMONYOT,MUMONYOT,DDP,4,MISS,0.397141,37.1612,d7435ba7-e562-46a7-8bca-0908ada6063f,37.1612,0.397141
2868,58,TABARE DISP,0,RIFT VALLEY,KEIYO,CHEPKORIO,METKEI,KIBIRIRSUS,DHMT,4,MOH,0.18851,35.668471,5378da15-8c1a-4552-8c25-e0ca00b6dcea,35.668471,0.18851
2869,1,AIC KIBISH DISP,0,RIFT VALLEY,TURKANA,KIBISH,KIBISH,KIBISH,DDP,4,MISS,5.352924,35.828016,4c2ad65a-35bb-4f69-a519-5f60c98627b7,35.828016,5.352924
2870,3,DOLDOL HEALTH CENTRE,1703,RIFT VALLEY,LAIKIPIA,MUKOGONDO,MUKOGONDO,KURIKURI,DDP,3,MOH,0.397141,37.1829,d2d7c4a8-23c9-4785-abb3-b40cbb3f6c7d,37.1829,0.397141
2871,43,TAMBACH SUB-DISTRICT HOSPITAL,2044,RIFT VALLEY,KEIYO,TAMBACH,KIPTUILONG,KAPTERIK,1:50000 MAPS,1,MOH,0.6,35.5163,fcbb0c4e-8eb8-4de6-ae20-5ae84e2e0bd2,35.5163,0.6
2872,3,AP KIBISHI DISP,3230,RIFT VALLEY,TURKANA,KIBISH,NAITA,NAITA,DISTRICT ESTIMATES,4,MOH,5.2123,35.6412,6aa934f7-ae94-40a6-a22c-86db19af2791,35.6412,5.2123
2873,4,ETHI DISP,2388,RIFT VALLEY,LAIKIPIA,CENTRAL,DAIGA,ETHI,DDP,4,MISS,0.180044,37.2806,d5e6fb3c-fec2-4b3e-8a5c-743c3821114d,37.2806,0.180044
2874,44,TAMBACH TTC DISP,3231,RIFT VALLEY,KEIYO,TAMBACH,KIPTUILONG,KAPTERIK,ILRI MKT CENTRES,4,MISS,0.586669,35.517487,df479c23-ee7c-4fda-8beb-8cb020408870,35.517487,0.586669
2875,4,ELELEA DISP,2129,RIFT VALLEY,TURKANA,LOKORI,KATILIA,ELELEA,DDP,4,MOH,2.141,36.372,02d7ddcb-b6f1-4681-82e5-95b9d0c35adb,36.372,2.141
2876,7,KALALU DISP,1692,RIFT VALLEY,LAIKIPIA,CENTRAL,DAIGA,UMANDE,DDP,4,MOH,0.078008,37.146,14acfa8a-8ef6-43ad-acda-eb0483fedbf0,37.146,0.078008
2877,45,TOT HEALTH CENTRE,2041,RIFT VALLEY,KEIYO,CHEPKORIO,MAOI,KETIGOI,DDP,3,MOH,0.26886,35.6354,85c26b24-37e6-4cb3-9f58-7ff597db7e75,35.6354,0.26886
2878,5,ELIYE DISP,0,RIFT VALLEY,TURKANA,KALOKOL,KANGATOTHA,ELIYE,DDP,4,MISS,3.24266,36.0402,0d2efacf-422e-403d-9558-3878d09984d9,36.0402,3.24266
2879,8,KARANDI HEALTH CENTRE,0,RIFT VALLEY,LAIKIPIA,NGARUA,GITUAMBA,KIAMBOGO(LAIKIPIA),DDP,3,MOH,0.288593,36.3102,8f477473-3eb2-4a77-9ae7-7466fd69c097,36.3102,0.288593
2880,1,AINAMOI H C,1556,RIFT VALLEY,KERICHO,AINAMOI,AINAMOI,AINAMOI(KERICHO),DSA/DFH(MOH)-UNFPA REPORT,3,MOH,-0.29374,35.272,3505011f-0a18-46fb-964a-bbaa1038daac,35.272,-0.29374
2881,6,ELIYE SPRINGS DISP,4299,RIFT VALLEY,TURKANA,KALOKOL,KANGATOTHA,ELIYE,DISTRICT ESTIMATES,4,MOH,3.24266,36.0402,df51fe6b-dd1b-4725-b366-3f56b62f8807,36.0402,3.24266
2882,9,KARUGA DISP,0,RIFT VALLEY,LAIKIPIA,NYAHURURU,IGWAMITI,LOSOGWA,DDP,4,MOH,0.056298,36.2928,098e8e5a-e3ec-4754-aeb9-cf04c3ee9115,36.2928,0.056298
2883,2,BAROTION DISPENSARY(AIC),3977,RIFT VALLEY,KERICHO,LONDIANI,SORGET,TUIYOBEI(LONDIANI),DISTRICT ESTIMATES,4,MISS,-0.15423,35.581213,09e9e724-0a86-48d7-a240-5f5aab7ca23d,35.581213,-0.15423
2884,7,ICRC LOKICHOGGIO HOSPITAL,0,RIFT VALLEY,TURKANA,LOKICHOGGIO,LOKICHOGGIO,LOKICHOGGIO,ILRI MKT CENTRES,1,NGO,4.189929,34.3078,9a1a6fa0-2f49-43a8-bdb0-d9f794d141cd,34.3078,4.189929
2885,10,KIBUKU DISP,0,RIFT VALLEY,LAIKIPIA,RUMURUTI,MUTARA,MUTARA,DDP,4,MOH,0.164847,36.6467,f9926171-36ad-4612-80a2-69b20665fc04,36.6467,0.164847
2886,0,CHEBARA DISP,0,RIFT VALLEY,KERICHO,CHILCHILA,KOKWET,KOKWET(KERICHO),DHMT,4,MOH,-0.168025,35.338777,f6450185-d15a-4750-8f1e-afdfd4378036,35.338777,-0.168025
2887,8,ILLE SPRING DISP,2130,RIFT VALLEY,TURKANA,KALOKOL,KALOKOL,KALOKOL,SUBLOC CENTROID,4,MISS,3.428762,35.764154,3635344f-2740-4129-ba4e-e3a6ca72b701,35.764154,3.428762
2888,13,KINAMBA HEALTH CENTRE,3633,RIFT VALLEY,LAIKIPIA,NGARUA,KINAMBA,MWENJE,DDP,3,MISS,0.425364,36.3145,819dc7dd-fe01-48bb-8e8d-4485d8ec013c,36.3145,0.425364
2889,9,JALUK DISP,0,RIFT VALLEY,TURKANA,KATILU,KATILU,LOKAPEL,DDP,4,MISS,2.36734,35.398,f6c3b629-2072-4830-b9b1-d231ca620ce9,35.398,2.36734
2890,0,CHEPCHOLIET DISP,0,RIFT VALLEY,KERICHO,KIPKELION,KAPSEGER,CHEPCHOLIET,DHMT,4,MOH,-0.247339,35.348209,a0fb9328-8e6f-473b-b9aa-d32877d64afc,35.348209,-0.247339
2891,14,KIRIMON DISP,0,RIFT VALLEY,LAIKIPIA,RUMURUTI,SOSIAN,KIRIMON(LAIKIPIA),DDP,4,MOH,0.735814,36.8681,92969993-4f91-4047-aaff-aa2ff40f87b3,36.8681,0.735814
2892,10,JULUK DISP,2131,RIFT VALLEY,TURKANA,CENTRAL,LODWAR TOWN,NAPETET,ILRI MKT CENTRES,4,MISS,3.123601,35.596703,ae078abf-fe1e-484d-b0d3-ebb3f8282241,35.596703,3.123601
2893,3,CHEPKEMEL HEALTH CENTRE,1685,RIFT VALLEY,KERICHO,SIGOWET,KAPLELARTET,KAPLELARTET,DSA/DFH(MOH)-UNFPA REPORT,3,MOH,-0.364316,35.0518,f1359c5d-88db-42ec-9795-bd012198e9f5,35.0518,-0.364316
2894,15,LAMURIA DISP,1693,RIFT VALLEY,LAIKIPIA,LAMURIA,LAMURIA,LAMURIA(LAIKIPIA),DDP,4,MOH,-0.136919,36.866,d48e2893-0069-4783-8936-496077e669ee,36.866,-0.136919
2895,11,KAALENG DISP,382,RIFT VALLEY,TURKANA,KAALING,KAERIS,KAERIS,DISTRICT ESTIMATES,4,MOH,3.90231,35.38123,c8d66b82-7ef2-46c7-a7bb-eed7b88e484d,35.38123,3.90231
2896,0,CHEPKUNYUK DISP,0,RIFT VALLEY,KERICHO,CHILCHILA,KUNYAK,KAPKWEN,DHMT,4,MOH,-0.103819,35.293499,cbd39ea1-a1e0-4946-8fe0-2cecd93682c3,35.293499,-0.103819
2897,16,MAHIANJU DISP,0,RIFT VALLEY,LAIKIPIA,NYAHURURU,MUTITU,NGORU,DDP,4,MOH,0.067444,36.3911,138db71e-4e90-4bf1-b588-8faaaa4dbeda,36.3911,0.067444
